dataset,noise,trial,algorithm,accuracy,frobenius,gt_frobenius,time_sec,,
voles,15,2,Fugal_init,0.927069,648,632,1103.74,,
voles,15,2,QAP,0.056101,4360,632,16.2,,
voles,15,2,QAP_init,0.927069,632,632,1068.16,,
voles,20,0,Fugal,0.913043,938,874,36.29,,
voles,20,0,Fugal_init,0.896213,938,874,620.7,,
voles,20,0,QAP,0.075736,4178,874,9.25,,
voles,20,0,QAP_init,0.915849,894,874,581.24,,
voles,20,1,Fugal,0.879383,1062,934,35.38,,
voles,20,1,Fugal_init,0.890603,986,934,316.34,,
voles,20,1,QAP,0.01122,4438,934,15.85,,
voles,20,1,QAP_init,0.907433,934,934,282.61,,
voles,20,2,Fugal,0.887798,938,854,35.87,,
voles,20,2,Fugal_init,0.893408,918,854,481.63,,
voles,20,2,QAP,0.029453,4394,854,1.73,,
voles,20,2,QAP_init,0.901823,866,854,445,,
euroroad,0,0,Fugal,0.944634,136,0,130.91,,
euroroad,0,0,Fugal_init,0.949744,0,0,154.57,,
euroroad,0,0,QAP,0.018739,2172,0,4.22,,
euroroad,0,0,QAP_init,0.951448,0,0,0.44,,
euroroad,0,1,Fugal,0.939523,128,0,79.65,,
euroroad,0,1,Fugal_init,0.950596,0,0,733.01,,
euroroad,0,1,QAP,0.0477,2096,0,4.14,,
euroroad,0,1,QAP_init,0.9523,8,0,590.61,,
euroroad,0,2,Fugal,0.947189,120,0,153.99,,
euroroad,0,2,Fugal_init,0.936968,0,0,746.31,,
euroroad,0,2,QAP,0.017036,2104,0,5.07,,
euroroad,0,2,QAP_init,0.94293,0,0,597.47,,
euroroad,5,0,Fugal,0.868825,410,122,76.55,,
euroroad,5,0,Fugal_init,0.859455,310,122,755.8,,
euroroad,5,0,QAP,0.012777,2066,122,4.75,,
euroroad,5,0,QAP_init,0.892675,158,122,674.77,,
euroroad,5,1,Fugal,0.81431,582,126,77.16,,
euroroad,5,1,Fugal_init,0.831346,382,126,748.37,,
euroroad,5,1,QAP,0.008518,2106,126,4.38,,
euroroad,5,1,QAP_init,0.894378,158,126,670.4,,
euroroad,5,2,Fugal,0.860307,438,102,77.71,,
euroroad,5,2,Fugal_init,0.862862,302,102,750.16,,
euroroad,5,2,QAP,0.028109,2026,102,4.76,,
euroroad,5,2,QAP_init,0.894378,126,102,672.61,,
euroroad,10,0,Fugal,0.740204,936,248,75.4,,
euroroad,10,0,Fugal_init,0.741056,836,248,765.95,,
euroroad,10,0,QAP,0.00937,2004,248,4.17,,
euroroad,10,0,QAP_init,0.833901,292,248,689.02,,
euroroad,10,1,Fugal,0.705281,974,258,77.96,,
euroroad,10,1,Fugal_init,0.70954,814,258,761.98,,
euroroad,10,1,QAP,0.002555,2066,258,3.79,,
euroroad,10,1,QAP_init,0.798978,382,258,683.02,,
euroroad,10,2,Fugal,0.747019,934,206,74.15,,
euroroad,10,2,Fugal_init,0.770869,758,206,818.64,,
euroroad,10,2,QAP,0.011925,2066,206,4.85,,
euroroad,10,2,QAP_init,0.832198,302,206,690.68,,
euroroad,15,0,Fugal,0.390119,2062,358,72.46,,
euroroad,15,0,Fugal_init,0.391823,1970,358,797.02,,
euroroad,15,0,QAP,0.007666,1994,358,4.28,,
euroroad,15,0,QAP_init,0.755537,486,358,682.85,,
euroroad,15,1,Fugal,0.477853,1720,360,76.18,,
euroroad,15,1,Fugal_init,0.473595,1624,360,746.76,,
euroroad,15,1,QAP,0.013629,1960,360,3.85,,
euroroad,15,1,QAP_init,0.729131,504,360,670.96,,
euroroad,15,2,Fugal,0.58092,1486,310,73.57,,
euroroad,15,2,Fugal_init,0.577513,1382,310,747.83,,
euroroad,15,2,QAP,0.006814,2022,310,4.08,,
euroroad,15,2,QAP_init,0.724872,462,310,672.41,,
euroroad,20,0,Fugal,0.183986,2628,464,73.15,,
euroroad,20,0,Fugal_init,0.187394,2516,464,754.59,,
euroroad,20,0,QAP,0.002555,1936,464,3.29,,
euroroad,20,0,QAP_init,0.587734,788,464,682.81,,
euroroad,20,1,Fugal,0.268313,2456,464,75,,
euroroad,20,1,Fugal_init,0.271721,2388,464,809.19,,
euroroad,20,1,QAP,0.005111,1976,464,4.09,,
euroroad,20,1,QAP_init,0.568995,832,464,698.51,,
euroroad,20,2,Fugal,0.285349,2314,418,73.36,,
euroroad,20,2,Fugal_init,0.284497,2214,418,810.98,,
euroroad,20,2,QAP,0.005963,1934,418,4.44,,
euroroad,20,2,QAP_init,0.61925,686,418,683.71,,
multimanga,0,0,Fugal,0.850598,8,0,64.68,,
multimanga,0,0,Fugal_init,0.85259,0,0,423.36,,
multimanga,0,0,QAP,0.544821,2044,0,3.31,,
multimanga,0,0,QAP_init,0.859562,0,0,356.89,,
multimanga,0,1,Fugal,0.842629,0,0,67.55,,
multimanga,0,1,Fugal_init,0.840637,0,0,421.84,,
multimanga,0,1,QAP,0.516932,2340,0,3.04,,
multimanga,0,1,QAP_init,0.853586,0,0,354.71,,
multimanga,0,2,Fugal,0.841633,0,0,67.22,,
multimanga,0,2,Fugal_init,0.838645,0,0,428.69,,
multimanga,0,2,QAP,0.604582,1176,0,2.75,,
multimanga,0,2,QAP_init,0.828685,0,0,361.9,,
multimanga,5,0,Fugal,0.835657,858,842,68.8,,
multimanga,5,0,Fugal_init,0.835657,850,842,534.07,,
multimanga,5,0,QAP,0.395418,3922,842,3.08,,
multimanga,5,0,QAP_init,0.826693,850,842,465.68,,
multimanga,5,1,Fugal,0.823705,790,782,70.47,,
multimanga,5,1,Fugal_init,0.839641,786,782,618.18,,
multimanga,5,1,QAP,0.434263,3850,782,3.6,,
multimanga,5,1,QAP_init,0.828685,810,782,462.5,,
multimanga,5,2,Fugal,0.811753,890,890,65.26,,
multimanga,5,2,Fugal_init,0.812749,890,890,518.96,,
multimanga,5,2,QAP,0.326693,4898,890,3.05,,
multimanga,5,2,QAP_init,0.806773,926,890,453.39,,
multimanga,10,0,Fugal,0.76992,1914,1582,66.25,,
multimanga,10,0,Fugal_init,0.751992,1906,1582,539.47,,
multimanga,10,0,QAP,0.38247,4538,1582,2.67,,
multimanga,10,0,QAP_init,0.762948,1906,1582,473.86,,
multimanga,10,1,Fugal,0.785857,1670,1606,66.86,,
multimanga,10,1,Fugal_init,0.760956,1898,1606,540.56,,
multimanga,10,1,QAP,0.371514,5314,1606,3.14,,
multimanga,10,1,QAP_init,0.723108,1910,1606,472.65,,
multimanga,10,2,Fugal,0.795817,1840,1796,63.92,,
multimanga,10,2,Fugal_init,0.697211,3124,1796,532.77,,
multimanga,10,2,QAP,0.360558,4784,1796,3.08,,
multimanga,10,2,QAP_init,0.659363,3216,1796,468.58,,
multimanga,15,0,Fugal,0.76494,2738,2382,64.36,,
multimanga,15,0,Fugal_init,0.663347,3462,2382,543.16,,
multimanga,15,0,QAP,0.307769,6018,2382,3.51,,
multimanga,15,0,QAP_init,0.641434,3958,2382,478.89,,
multimanga,15,1,Fugal,0.752988,2598,2402,65.14,,
multimanga,15,1,Fugal_init,0.648406,3318,2402,542.59,,
multimanga,15,1,QAP,0.36753,5602,2402,3.08,,
